Date,Price,,,,,
01/08/2000,"10,606.95",,,,,
02/08/2000,"10,687.53",,,,,
03/08/2000,"10,706.58",,,,,
04/08/2000,"10,767.75",,,,,
07/08/2000,"10,867.01",,,,,
08/08/2000,"10,976.89",,,,,
09/08/2000,"10,905.83",,,,,
10/08/2000,"10,908.76",,,,,
11/08/2000,"11,027.80",,,,,
14/08/2000,"11,176.14",,,,,
15/08/2000,"11,067.00",,,,,
16/08/2000,"11,008.39",,,,,
17/08/2000,"11,055.64",,,,,
18/08/2000,"11,046.48",,,,,
21/08/2000,"11,079.81",,,,,
22/08/2000,"11,139.15",,,,,
23/08/2000,"11,144.65",,,,,
24/08/2000,"11,182.74",,,,,
25/08/2000,"11,192.63",,,,,
28/08/2000,"11,252.84",,,,,
29/08/2000,"11,215.10",,,,,
30/08/2000,"11,103.01",,,,,
31/08/2000,"11,215.10",,,,,
01/09/2000,"11,238.78",,,,,
05/09/2000,"11,260.61",,,,,
06/09/2000,"11,310.64",,,,,
07/09/2000,"11,259.87",,,,,
08/09/2000,"11,220.65",,,,,
11/09/2000,"11,195.49",,,,,
12/09/2000,"11,233.23",,,,,
13/09/2000,"11,182.18",,,,,
14/09/2000,"11,087.47",,,,,
15/09/2000,"10,927.00",,,,,
18/09/2000,"10,808.52",,,,,
19/09/2000,"10,789.29",,,,,
20/09/2000,"10,687.92",,,,,
21/09/2000,"10,765.52",,,,,
22/09/2000,"10,847.37",,,,,
25/09/2000,"10,808.15",,,,,
26/09/2000,"10,631.32",,,,,
27/09/2000,"10,628.36",,,,,
28/09/2000,"10,824.06",,,,,
29/09/2000,"10,650.92",,,,,
02/10/2000,"10,700.13",,,,,
03/10/2000,"10,719.74",,,,,
04/10/2000,"10,784.48",,,,,
05/10/2000,"10,724.92",,,,,
06/10/2000,"10,596.54",,,,,
09/10/2000,"10,568.43",,,,,
10/10/2000,"10,524.40",,,,,
11/10/2000,"10,413.79",,,,,
12/10/2000,"10,034.58",,,,,
13/10/2000,"10,192.18",,,,,
16/10/2000,"10,238.80",,,,,
17/10/2000,"10,089.71",,,,,
18/10/2000,"9,975.02",,,,,
19/10/2000,"10,142.98",,,,,
20/10/2000,"10,226.59",,,,,
23/10/2000,"10,271.72",,,,,
24/10/2000,"10,393.07",,,,,
25/10/2000,"10,326.48",,,,,
26/10/2000,"10,380.12",,,,,
27/10/2000,"10,590.62",,,,,
30/10/2000,"10,835.77",,,,,
31/10/2000,"10,971.14",,,,,
01/11/2000,"10,899.47",,,,,
02/11/2000,"10,880.51",,,,,
03/11/2000,"10,817.95",,,,,
06/11/2000,"10,977.21",,,,,
07/11/2000,"10,952.18",,,,,
08/11/2000,"10,907.06",,,,,
09/11/2000,"10,834.25",,,,,
10/11/2000,"10,602.95",,,,,
13/11/2000,"10,517.25",,,,,
14/11/2000,"10,681.06",,,,,
15/11/2000,"10,707.60",,,,,
16/11/2000,"10,656.03",,,,,
17/11/2000,"10,629.87",,,,,
20/11/2000,"10,462.65",,,,,
21/11/2000,"10,494.50",,,,,
22/11/2000,"10,399.32",,,,,
24/11/2000,"10,470.23",,,,,
27/11/2000,"10,546.07",,,,,
28/11/2000,"10,507.58",,,,,
29/11/2000,"10,629.11",,,,,
30/11/2000,"10,414.49",,,,,
01/12/2000,"10,373.54",,,,,
04/12/2000,"10,560.10",,,,,
05/12/2000,"10,898.72",,,,,
06/12/2000,"10,664.38",,,,,
07/12/2000,"10,617.36",,,,,
08/12/2000,"10,712.91",,,,,
11/12/2000,"10,725.80",,,,,
12/12/2000,"10,768.27",,,,,
13/12/2000,"10,794.44",,,,,
14/12/2000,"10,674.99",,,,,
15/12/2000,"10,434.96",,,,,
18/12/2000,"10,645.42",,,,,
19/12/2000,"10,584.37",,,,,
20/12/2000,"10,318.93",,,,,
21/12/2000,"10,487.29",,,,,
22/12/2000,"10,635.56",,,,,
26/12/2000,"10,692.44",,,,,
27/12/2000,"10,803.16",,,,,
28/12/2000,"10,868.76",,,,,
29/12/2000,"10,786.85",,,,,
02/01/2001,"10,646.15",,,,,
03/01/2001,"10,945.75",,,,,
04/01/2001,"10,912.41",,,,,
05/01/2001,"10,662.01",,,,,
08/01/2001,"10,621.35",,,,,
09/01/2001,"10,572.55",,,,,
10/01/2001,"10,604.27",,,,,
11/01/2001,"10,609.55",,,,,
12/01/2001,"10,525.38",,,,,
16/01/2001,"10,652.66",,,,,
17/01/2001,"10,584.34",,,,,
18/01/2001,"10,678.28",,,,,
19/01/2001,"10,587.59",,,,,
22/01/2001,"10,578.24",,,,,
23/01/2001,"10,649.81",,,,,
24/01/2001,"10,646.97",,,,,
25/01/2001,"10,729.52",,,,,
26/01/2001,"10,659.98",,,,,
29/01/2001,"10,702.19",,,,,
30/01/2001,"10,881.20",,,,,
31/01/2001,"10,887.36",,,,,
01/02/2001,"10,983.62",,,,,
02/02/2001,"10,864.10",,,,,
05/02/2001,"10,965.85",,,,,
06/02/2001,"10,957.42",,,,,
07/02/2001,"10,946.72",,,,,
08/02/2001,"10,880.55",,,,,
09/02/2001,"10,781.45",,,,,
12/02/2001,"10,946.77",,,,,
13/02/2001,"10,903.32",,,,,
14/02/2001,"10,795.41",,,,,
15/02/2001,"10,891.02",,,,,
16/02/2001,"10,799.82",,,,,
20/02/2001,"10,730.88",,,,,
21/02/2001,"10,526.58",,,,,
22/02/2001,"10,526.81",,,,,
23/02/2001,"10,441.90",,,,,
26/02/2001,"10,642.53",,,,,
27/02/2001,"10,636.88",,,,,
28/02/2001,"10,495.28",,,,,
01/03/2001,"10,450.14",,,,,
02/03/2001,"10,466.31",,,,,
05/03/2001,"10,562.30",,,,,
06/03/2001,"10,591.22",,,,,
07/03/2001,"10,729.60",,,,,
08/03/2001,"10,858.25",,,,,
09/03/2001,"10,644.62",,,,,
12/03/2001,"10,208.25",,,,,
13/03/2001,"10,290.80",,,,,
14/03/2001,"9,973.46",,,,,
15/03/2001,"10,031.28",,,,,
16/03/2001,"9,823.41",,,,,
19/03/2001,"9,959.11",,,,,
20/03/2001,"9,720.76",,,,,
21/03/2001,"9,487.00",,,,,
22/03/2001,"9,389.48",,,,,
23/03/2001,"9,504.78",,,,,
26/03/2001,"9,687.53",,,,,
27/03/2001,"9,947.54",,,,,
28/03/2001,"9,785.35",,,,,
29/03/2001,"9,799.06",,,,,
30/03/2001,"9,878.78",,,,,
