caldt,ncindx
03/01/2000,4131.15
04/01/2000,3901.69
05/01/2000,3877.54
06/01/2000,3727.13
07/01/2000,3882.62
10/01/2000,4049.67
11/01/2000,3921.19
12/01/2000,3850.02
13/01/2000,3957.21
14/01/2000,4064.27
18/01/2000,4130.81
19/01/2000,4151.29
20/01/2000,4189.51
21/01/2000,4235.40
24/01/2000,4096.08
25/01/2000,4167.41
26/01/2000,4069.91
27/01/2000,4039.56
28/01/2000,3887.07
31/01/2000,3940.35
01/02/2000,4051.98
02/02/2000,4073.96
03/02/2000,4210.98
04/02/2000,4244.14
07/02/2000,4321.77
08/02/2000,4427.50
09/02/2000,4363.24
10/02/2000,4485.63
11/02/2000,4395.45
14/02/2000,4418.55
15/02/2000,4420.77
16/02/2000,4427.65
17/02/2000,4548.92
18/02/2000,4411.74
22/02/2000,4382.12
23/02/2000,4550.33
24/02/2000,4617.65
25/02/2000,4590.50
28/02/2000,4577.85
29/02/2000,4696.69
01/03/2000,4784.08
02/03/2000,4754.51
03/03/2000,4914.79
06/03/2000,4904.85
07/03/2000,4847.84
08/03/2000,4897.26
09/03/2000,5046.86
10/03/2000,5048.62
13/03/2000,4907.24
14/03/2000,4706.63
15/03/2000,4582.62
16/03/2000,4717.39
17/03/2000,4798.13
20/03/2000,4610.00
21/03/2000,4711.68
22/03/2000,4864.75
23/03/2000,4940.61
24/03/2000,4963.03
27/03/2000,4958.56
28/03/2000,4833.89
29/03/2000,4644.67
30/03/2000,4457.89
31/03/2000,4572.83
03/04/2000,4223.68
04/04/2000,4148.89
05/04/2000,4169.22
06/04/2000,4267.56
07/04/2000,4446.45
10/04/2000,4188.20
11/04/2000,4055.90
12/04/2000,3769.63
13/04/2000,3676.78
14/04/2000,3321.29
17/04/2000,3539.16
18/04/2000,3793.57
19/04/2000,3706.41
20/04/2000,3643.88
24/04/2000,3482.48
25/04/2000,3711.23
26/04/2000,3630.09
27/04/2000,3774.03
28/04/2000,3860.66
01/05/2000,3958.08
02/05/2000,3785.45
03/05/2000,3707.31
04/05/2000,3720.24
05/05/2000,3816.82
08/05/2000,3669.38
09/05/2000,3585.01
10/05/2000,3384.73
11/05/2000,3499.58
12/05/2000,3529.06
15/05/2000,3607.65
16/05/2000,3717.57
17/05/2000,3644.96
18/05/2000,3538.71
19/05/2000,3390.40
22/05/2000,3364.21
23/05/2000,3164.55
24/05/2000,3270.61
25/05/2000,3205.35
26/05/2000,3205.11
30/05/2000,3459.48
31/05/2000,3400.91
01/06/2000,3582.50
02/06/2000,3813.38
05/06/2000,3821.76
06/06/2000,3756.37
07/06/2000,3839.26
08/06/2000,3825.56
09/06/2000,3874.84
12/06/2000,3767.91
13/06/2000,3851.06
14/06/2000,3797.41
15/06/2000,3845.74
16/06/2000,3860.56
19/06/2000,3989.83
20/06/2000,4013.36
21/06/2000,4064.01
22/06/2000,3936.84
23/06/2000,3845.34
26/06/2000,3912.12
27/06/2000,3858.96
28/06/2000,3940.34
29/06/2000,3877.23
30/06/2000,3966.11
03/07/2000,3991.93
05/07/2000,3863.10
06/07/2000,3960.57
07/07/2000,4023.20
10/07/2000,3980.29
11/07/2000,3956.42
12/07/2000,4099.59
13/07/2000,4174.86
14/07/2000,4246.18
17/07/2000,4274.67
18/07/2000,4177.17
19/07/2000,4055.63
20/07/2000,4184.56
21/07/2000,4094.45
24/07/2000,3981.57
25/07/2000,4029.57
26/07/2000,3987.72
27/07/2000,3842.23
28/07/2000,3663.00
31/07/2000,3766.99
01/08/2000,3685.52
02/08/2000,3658.46
03/08/2000,3759.88
04/08/2000,3787.36
07/08/2000,3862.99
08/08/2000,3848.55
09/08/2000,3853.50
10/08/2000,3759.99
11/08/2000,3789.47
14/08/2000,3849.69
15/08/2000,3851.66
16/08/2000,3861.20
17/08/2000,3940.87
18/08/2000,3930.34
21/08/2000,3953.15
22/08/2000,3958.21
23/08/2000,4011.01
24/08/2000,4053.28
25/08/2000,4042.68
28/08/2000,4070.59
29/08/2000,4082.17
30/08/2000,4103.81
31/08/2000,4206.35
01/09/2000,4234.33
05/09/2000,4143.18
06/09/2000,4013.34
07/09/2000,4098.35
08/09/2000,3978.41
11/09/2000,3896.35
12/09/2000,3849.51
13/09/2000,3893.89
14/09/2000,3913.86
15/09/2000,3835.23
18/09/2000,3726.52
19/09/2000,3865.64
20/09/2000,3897.44
21/09/2000,3828.87
22/09/2000,3803.76
25/09/2000,3741.22
26/09/2000,3689.10
27/09/2000,3656.30
28/09/2000,3778.32
29/09/2000,3672.82
02/10/2000,3568.90
03/10/2000,3455.83
04/10/2000,3523.10
05/10/2000,3472.10
06/10/2000,3361.01
09/10/2000,3355.56
10/10/2000,3240.54
11/10/2000,3168.49
12/10/2000,3074.68
13/10/2000,3316.77
16/10/2000,3290.28
17/10/2000,3213.96
18/10/2000,3171.56
19/10/2000,3418.60
20/10/2000,3483.14
23/10/2000,3468.69
24/10/2000,3419.79
25/10/2000,3229.57
26/10/2000,3272.18
27/10/2000,3278.36
30/10/2000,3191.40
31/10/2000,3369.63
