,0
0,0.4102073
1,0.6005941
2,0.60247725
3,0.65111214
4,0.5700858
5,0.52919453
6,0.5668505
7,0.5640343
8,0.60380226
9,0.49323735
10,0.5249694
11,0.5009792
12,0.5136587
13,0.4592571
14,0.56045896
15,0.5519187
16,0.5488722
17,0.43697965
18,0.6306364
19,0.59182006
20,0.5365014
21,0.55528706
22,0.5316339
23,0.5295401
24,0.5726267
25,0.4493839
26,0.5297857
27,0.46533963
28,0.59119904
29,0.63099366
30,0.49134842
31,0.53277695
32,0.42729566
33,0.5877686
34,0.5201202
35,0.49653986
36,0.45404747
37,0.62755716
38,0.589907
39,0.55602056
40,0.56268966
41,0.63527066
42,0.47328445
43,0.3881767
44,0.5767951
45,0.61788344
46,0.5210751
47,0.5603784
48,0.49362358
49,0.6874965
50,0.76296866
51,0.5428658
52,0.58797866
53,0.64076215
54,0.5411212
55,0.6494203
56,0.5529012
57,0.5223117
58,0.5203951
59,0.58373517
60,0.5374067
61,0.52897346
62,0.6668253
63,0.5299573
64,0.5018387
65,0.58380586
66,0.54916304
67,0.5816075
68,0.5909386
69,0.49106798
70,0.47474816
71,0.30420837
72,0.66366935
73,0.6241116
74,0.51977116
75,0.6175208
76,0.57749707
77,0.6363129
78,0.48337182
79,0.5346151
80,0.49115744
81,0.58187956
82,0.522163
83,0.4512331
84,0.52635676
85,0.6194435
86,0.5616999
87,0.52576643
88,0.48623356
89,0.62442297
90,0.5782032
91,0.63041943
92,0.60238945
93,0.48972997
94,0.55420625
95,0.49387732
96,0.5171842
97,0.5030032
98,0.5986033
99,0.4671907
100,0.54062027
101,0.64423716
102,0.54918927
103,0.6047872
104,0.6089427
105,0.56022537
106,0.5196018
107,0.5833476
108,0.49577662
109,0.53078735
110,0.53289574
111,0.57524854
112,0.57860523
113,0.5626058
114,0.44455275
115,0.5966911
116,0.5026328
117,0.57814246
118,0.5031782
119,0.5635382
120,0.60883313
121,0.53761464
122,0.5611811
123,0.49894443
124,0.5725353
125,0.5981544
126,0.5214048
127,0.55089724
128,0.61472666
129,0.55626106
130,0.5843449
131,0.57456034
132,0.55425495
