"","x"
"1",0.0120079153283152
"2",0.0120079153283152
"3",0.013731474361468
"4",0.013276893921044
"5",0.0145303916743667
"6",0.0147045684294656
"7",0.0137163222486245
"8",0.0127229159167054
"9",0.0117708530519381
"10",0.0114372224385988
"11",0.011636465728417
"12",0.0114957517537442
"13",0.0115448700336574
"14",0.0116128013061277
"15",0.0131023335031275
"16",0.0133392034212279
"17",0.0122989394974357
"18",0.0113582282683929
"19",0.0133101894491746
"20",0.0146047388871665
"21",0.0142643464737383
"22",0.0134073311680991
"23",0.0123796952239499
"24",0.0115280769716981
"25",0.0109010632664565
"26",0.0102612803887296
"27",0.0119525357622258
"28",0.0127118689949296
"29",0.0136059891233592
"30",0.0137196955462587
"31",0.0139340235108947
"32",0.014188949817516
"33",0.0136029057756772
"34",0.0154432036592864
"35",0.015937197533588
"36",0.0148609334014809
"37",0.0144732221926756
"38",0.0157170555134728
"39",0.0162559664204146
"40",0.0156396542383539
"41",0.0145939634359982
"42",0.0134514660684069
"43",0.013686830637926
"44",0.0144318200158188
"45",0.0184445769238187
"46",0.0195029074144969
"47",0.0184927996229471
"48",0.0175121563339051
"49",0.0161771882802889
"50",0.0154703787295129
"51",0.0171474518621769
"52",0.0230731276642494
"53",0.0244296130373026
"54",0.0224848953647679
"55",0.021635691395986
"56",0.0204918069814454
"57",0.0199154675400785
"58",0.0190162376662065
"59",0.0176461642763804
"60",0.0165965775907388
"61",0.0155319245069536
"62",0.0143905065248044
"63",0.0134112353136171
"64",0.0146555762497006
"65",0.0148617487725043
"66",0.014239471593191
"67",0.0135709970082393
"68",0.0125686076767856
"69",0.0117362386629806
"70",0.0112667524910201
"71",0.0114513080547378
"72",0.0127099871266908
"73",0.0222391257072125
"74",0.0257345138652055
"75",0.0247302974979723
"76",0.0232473639217618
"77",0.0217917091898596
"78",0.0203652204340971
"79",0.0196672344752402
"80",0.0191726123279727
"81",0.0180964192017708
"82",0.0173561871982867
"83",0.0164393978981435
"84",0.0153159402232835
"85",0.0160773566901902
"86",0.0162346048565617
"87",0.0157058096944422
"88",0.0148834019889476
"89",0.0138700077215234
"90",0.0139102627082759
"91",0.0141706947049299
"92",0.0136775796771676
"93",0.0138737688027678
"94",0.0140800006346319
"95",0.0140334812362896
"96",0.0133978650519746
"97",0.013112025827977
"98",0.0129571395102084
"99",0.0128089716532289
"100",0.0125034707876803
"101",0.0131349487468499
"102",0.0131006674454269
"103",0.0136661682287129
"104",0.0135586994491003
"105",0.0129654220304479
"106",0.0129647003245775
"107",0.0124425847056168
"108",0.011740598755329
"109",0.0111401274973778
"110",0.011130529129076
"111",0.0110000803280051
"112",0.0104831538822933
"113",0.00989829924992531
"114",0.00942080720500786
"115",0.00890971449767416
"116",0.0112886553118086
"117",0.0122669939899284
"118",0.0119241415022675
"119",0.0113995476408588
"120",0.0111443314954246
"121",0.0106841785111206
"122",0.010612576957877
"123",0.0103333195780996
"124",0.00960785668610228
"125",0.00972012101062061
"126",0.00956925075537841
"127",0.00945850481018242
"128",0.0093722323367711
"129",0.00887853973350573
"130",0.00926762528534033
"131",0.00925902803943827
"132",0.00887118581973447
"133",0.00858319774880457
"134",0.00810914243974968
"135",0.00759506946652682
"136",0.00714046360534149
"137",0.00702000662687107
"138",0.00699747290088925
"139",0.007699190349522
"140",0.00830532429708556
"141",0.00831506094964943
"142",0.00792645430002643
"143",0.00913184140507425
"144",0.00958020985994342
"145",0.00919553853159866
"146",0.00871996691851937
"147",0.0084288475154286
"148",0.00839569448996463
"149",0.00807548400846038
"150",0.00772261984821559
"151",0.00783244835926535
"152",0.0082598656945816
"153",0.00830688686437217
"154",0.00789869995472385
"155",0.00800085790461439
"156",0.00890083587519606
"157",0.00932922029429828
"158",0.00918704622750534
"159",0.00875951629580134
"160",0.00819945381807365
"161",0.00769348879485795
"162",0.00738082465847783
"163",0.00703337284800646
"164",0.00667388189815469
"165",0.00634004333455721
"166",0.00617677446062211
"167",0.00606292200684129
"168",0.00670556494769692
"169",0.0072955035124669
"170",0.00717233223539035
"171",0.00678677515299531
"172",0.00652105213342351
"173",0.00639617417553268
"174",0.00631838356078196
"175",0.00617393742313884
"176",0.00595972604636312
"177",0.00588600812007003
"178",0.00642315443942902
"179",0.00812072994323773
"180",0.0094016944593322
"181",0.00936165171960806
"182",0.00927783324717602
"183",0.00912402992957895
"184",0.0088933614147676
"185",0.00854782254879859
"186",0.00958980566203603
"187",0.00989075755733805
"188",0.0105922084414581
"189",0.0115499509124893
"190",0.0112643876609951
"191",0.0104416857228088
"192",0.00982382551399413
"193",0.00936296718601387
"194",0.00966949086833125
"195",0.00963566303903186
"196",0.00915107159056889
"197",0.0092909224951364
"198",0.0147820922572708
"199",0.0168090428464475
"200",0.0157486628497187
"201",0.0152083428529691
"202",0.0150131705625785
"203",0.0148703094500601
"204",0.0144085302196304
"205",0.0135261348814094
"206",0.0129825662971756
"207",0.0124097679013168
"208",0.011592541263218
"209",0.0123004760448181
"210",0.0143286103376702
"211",0.0150544262546969
"212",0.0143757424399681
"213",0.0133434951763573
"214",0.0124826666575476
"215",0.0122890426410004
"216",0.011788377405535
"217",0.01100139429189
"218",0.0105183780034746
"219",0.0120810802495875
"220",0.0128906935386395
"221",0.0128751298855126
"222",0.0123749782521289
"223",0.011560141406137
"224",0.0108150499474226
"225",0.0112411620810706
"226",0.011151817886056
"227",0.0106983082635636
"228",0.0102756420390027
"229",0.00984734997671781
"230",0.00936487446437561
"231",0.00928353671028979
"232",0.010762076950242
"233",0.0112280415840598
"234",0.0116419679466933
"235",0.0151157430853143
"236",0.0169516259466361
"237",0.0163762100997956
"238",0.0153383394647697
"239",0.0142391944218017
"240",0.0131561194040094
"241",0.0121743366717221
"242",0.0117711265226684
"243",0.0134343673199214
"244",0.0146051888062492
"245",0.0140843813459888
"246",0.0152731645321566
"247",0.0158978760898737
"248",0.0156027002740909
"249",0.0149189235699856
"250",0.0141431683314433
"251",0.0133950344045202
"252",0.012649391924927
"253",0.0126002868868471
"254",0.0143574229128224
"255",0.0145722198663277
"256",0.0152513418099763
"257",0.015334191815467
"258",0.0143115532789761
"259",0.0132594561206468
"260",0.0122308563690967
"261",0.0115812913585759
"262",0.0113388913922139
"263",0.0109165303572782
"264",0.010436879040267
"265",0.0101364704013944
"266",0.009634317074052
"267",0.00914352638069752
"268",0.00862555846445289
"269",0.00831054100753665
"270",0.00816170235423608
"271",0.00781266523384897
"272",0.00881933419820182
"273",0.00911531076568166
"274",0.00883685730591632
"275",0.00904097775910889
"276",0.00906724033813836
"277",0.0086233623124028
"278",0.00805777010864998
"279",0.0078201587992026
"280",0.00813780692186936
"281",0.00897268584158822
"282",0.00900102547758563
"283",0.00903923299040443
"284",0.009068010163375
"285",0.00894005944834383
"286",0.0088798908012208
"287",0.0104985485310271
"288",0.0109429364969628
"289",0.0104851183905927
"290",0.0112250559554091
"291",0.0111936918973895
"292",0.0111885872832038
"293",0.011063071921372
"294",0.010354432475739
"295",0.00993671145131203
"296",0.00949244554916182
"297",0.0096198762718153
"298",0.0101656845410166
"299",0.0114533079187384
"300",0.0176881332679092
"301",0.0194842581667548
"302",0.0201687392542946
"303",0.0199537729827583
"304",0.0193583871370605
"305",0.0187376536059338
"306",0.018743936092951
"307",0.0199093597255866
"308",0.0198707690979007
"309",0.0187850825417737
"310",0.0183938737229654
"311",0.0194262190600396
"312",0.0195074965993164
"313",0.018223277230468
"314",0.0168874384326409
"315",0.0159095228444983
"316",0.0176786089508055
"317",0.0179770150430622
"318",0.0205875060974028
"319",0.0214644757230662
"320",0.0198254879874863
"321",0.0197726145847186
"322",0.0192668901589376
"323",0.0179845198920353
"324",0.0167106569127357
"325",0.0154658720627931
"326",0.0183069026953427
"327",0.0194229253785787
"328",0.0182913887921675
"329",0.0170924838177542
"330",0.0159882754825622
"331",0.0154813298657993
"332",0.0148351661532609
"333",0.0141536042696607
"334",0.0134346914661019
"335",0.0131272314490278
"336",0.0125395624181401
"337",0.0118370231336798
"338",0.0117459208413688
"339",0.0112722790392829
"340",0.010559126784061
"341",0.00990639260396453
"342",0.00926362675650298
"343",0.00900892717208354
"344",0.00869168326809985
"345",0.00814723460674626
"346",0.0118440083782547
"347",0.0132429143254837
"348",0.0123532040586538
