"","x"
"1",-0.161475711620447
"2",-0.123915146823502
"3",-0.113552788666833
"4",-0.11531298277766
"5",-0.129247002549196
"6",-0.156953231992223
"7",-0.144904556927356
"8",-0.17375185720511
"9",-0.153603290728427
"10",-0.166133174475823
"11",-0.316159994771608
"12",-0.182628752733904
"13",-0.00849745467839072
