,0
0,0.34484342
1,0.5284586
2,0.52542925
3,0.6374589
4,0.56903446
5,0.4636406
6,0.5025313
7,0.57360387
8,0.56679773
9,0.49064398
10,0.5221102
11,0.48859653
12,0.5070524
13,0.39640617
14,0.5467738
15,0.50221443
16,0.50260925
17,0.3972887
18,0.6298219
19,0.56647325
20,0.5218283
21,0.5694301
22,0.5183712
23,0.5193
24,0.574381
25,0.42853653
26,0.53600514
27,0.42823097
28,0.52898407
29,0.5584159
30,0.47416484
31,0.5217625
32,0.38350883
33,0.5401728
34,0.5477687
35,0.49785945
36,0.45468408
37,0.5689328
38,0.58071494
39,0.5613004
40,0.5282006
41,0.60728943
42,0.46439224
43,0.4061556
44,0.5560359
45,0.6312094
46,0.5028026
47,0.48610333
48,0.4427921
49,0.6257801
50,0.7248337
51,0.54237497
52,0.498759
53,0.6306635
54,0.5434959
55,0.59641826
56,0.5257131
57,0.5145626
58,0.47368738
59,0.52216387
60,0.46100035
61,0.55114484
62,0.5413233
63,0.48698714
64,0.49796784
65,0.56088614
66,0.5636723
67,0.4846492
68,0.5100081
69,0.4212746
70,0.4401526
71,0.2543847
72,0.6639962
73,0.63911235
74,0.47586957
75,0.5467725
76,0.5079268
77,0.6653925
78,0.47053975
79,0.5366694
80,0.48403478
81,0.56681657
82,0.4556204
83,0.42528668
84,0.5079068
85,0.5908539
86,0.49835974
87,0.48495072
88,0.42969796
89,0.59855485
90,0.5608523
91,0.6164206
92,0.56098795
93,0.46579385
94,0.4904981
95,0.42769012
96,0.502461
97,0.43624508
98,0.60042405
99,0.4654724
100,0.5108193
101,0.65945065
102,0.5164716
103,0.60646594
104,0.60553956
105,0.49564698
106,0.4947659
107,0.56038725
108,0.49241295
109,0.5053761
110,0.48711297
111,0.5918411
112,0.5231633
113,0.54439044
114,0.4759953
115,0.58540666
116,0.48973405
117,0.5297431
118,0.43901905
119,0.4870977
120,0.56201315
121,0.5056231
122,0.5329724
123,0.48145112
124,0.5570227
125,0.5652245
126,0.44931683
127,0.5514244
128,0.5878744
129,0.5111755
130,0.53560543
131,0.55538356
132,0.5299376
133,0.5614536
134,0.5240377
135,0.4712097
136,0.4853104
137,0.5602423
138,0.47372174
139,0.4719518
140,0.55014086
141,0.4533559
142,0.5125975
143,0.4291076
144,0.5538218
145,0.5423417
146,0.5219942
147,0.5623448
148,0.55103993
149,0.56942785
150,0.53104484
151,0.4906923
152,0.48133102
153,0.55458844
154,0.5793253
155,0.49990055
156,0.507807
157,0.5683254
158,0.509216
159,0.54296565
160,0.519161
161,0.5436717
162,0.529515
163,0.517395
164,0.54313004
165,0.5094788
166,0.499982
167,0.5631436
168,0.53101844
169,0.48027006
170,0.4767964
171,0.55013394
172,0.49801642
173,0.5067936
174,0.50010663
175,0.53107
176,0.51049274
177,0.4752728
178,0.4552114
179,0.56698835
180,0.49440876
181,0.514838
182,0.52125764
183,0.49089557
184,0.4834617
185,0.52050495
186,0.6168561
187,0.45344508
188,0.5193291
189,0.48970667
190,0.5441464
191,0.526598
192,0.43535244
193,0.4978196
194,0.47198284
195,0.4482765
196,0.406646
197,0.66398907
198,0.52544963
199,0.4419895
200,0.49836597
201,0.6702213
202,0.5471492
203,0.52124333
204,0.53043276
205,0.41496426
206,0.52166
207,0.5685141
208,0.5808482
209,0.6160511
210,0.4978941
211,0.54185665
212,0.51509964
213,0.5369401
214,0.5188745
215,0.45031175
216,0.4914298
217,0.4118691
218,0.4722223
219,0.622445
220,0.5419097
221,0.46528706
222,0.506662
223,0.439617
224,0.53598225
225,0.43866888
226,0.58506584
227,0.54392266
228,0.47810745
229,0.53947115
230,0.43162903
231,0.52161086
232,0.5529809
233,0.6867449
234,0.44064507
235,0.49846593
236,0.6055174
237,0.5531665
238,0.4948299
239,0.48613068
240,0.4587552
241,0.42573228
242,0.55568147
243,0.4639908
244,0.3798696
245,0.5559635
246,0.6259049
247,0.55170023
248,0.56562746
249,0.53951204
250,0.47361487
251,0.39541265
252,0.73389494
253,0.47477442
254,0.40437287
255,0.514531
256,0.54068446
257,0.5626861
258,0.5652852
259,0.4953896
260,0.5488714
261,0.5312706
262,0.581733
263,0.5030469
264,0.5216663
265,0.57833993
266,0.53276336
267,0.4980932
268,0.5111286
269,0.5497589
270,0.5505843
271,0.49492273
272,0.5438534
273,0.4420533
274,0.536011
275,0.51337814
276,0.4831573
277,0.4925431
278,0.4602696
279,0.5726931
280,0.4820512
281,0.51019126
282,0.5558146
283,0.43545905
284,0.44249997
285,0.4383591
286,0.51336014
287,0.49669594
288,0.597497
289,0.4866821
290,0.456411
291,0.52599466
292,0.4956971
293,0.54566085
294,0.56458807
295,0.5485296
296,0.5296358
297,0.40962186
298,0.32346106
299,0.58495283
300,0.40530035
301,0.5473851
302,0.43351266
303,0.5971321
304,0.41260836
305,0.44153687
306,0.50406754
307,0.60739064
308,0.56905043
309,0.6312319
310,0.41110563
311,0.5017828
312,0.56661797
313,0.46616277
314,0.366066
315,0.5093738
316,0.70658064
317,0.43215036
318,0.55798316
319,0.63637066
320,0.5134945
321,0.58559823
322,0.50872517
323,0.56461334
324,0.6865344
325,0.57480514
326,0.48468062
327,0.45613885
328,0.467528
329,0.59001076
330,0.5420501
331,0.5858542
332,0.51040816
333,0.5801438
334,0.52574277
335,0.45417452
336,0.5843613
337,0.5108638
338,0.5133435
339,0.50119495
340,0.51942277
341,0.48721996
342,0.5312834
343,0.5219374
344,0.6422068
345,0.5317667
346,0.532328
347,0.59185374
348,0.50885296
349,0.45097724
350,0.53391194
351,0.4673268
352,0.48600173
353,0.4501305
354,0.5473273
355,0.5371412
356,0.54248357
357,0.5783657
358,0.47278583
359,0.544201
360,0.47849613
361,0.48366246
362,0.52505696
363,0.47005635
364,0.44151047
365,0.50127983
366,0.49956486
367,0.5353478
368,0.55866313
369,0.5709225
370,0.47842857
371,0.49679145
372,0.5143655
373,0.50053644
374,0.5759194
375,0.5144629
376,0.56487465
377,0.512702
378,0.46529013
379,0.41491592
380,0.5503818
381,0.4558237
382,0.5169692
383,0.62369347
384,0.54844975
385,0.47107872
386,0.5640875
387,0.49645185
388,0.54681814
389,0.506305
390,0.44666046
391,0.4470518
392,0.5915525
393,0.5661789
394,0.5322778
395,0.51704395
396,0.54453075
397,0.53697336
398,0.53711855
399,0.49793276
400,0.4699038
401,0.53406125
402,0.44216287
403,0.52084243
404,0.54456615
405,0.5248872
406,0.5045738
407,0.4885821
408,0.53328526
409,0.4454908
410,0.555846
411,0.4661351
412,0.550091
413,0.50955415
414,0.6062093
415,0.50006354
416,0.45239207
417,0.46968463
418,0.4435993
419,0.5398927
420,0.51977324
421,0.51756257
422,0.4202132
423,0.43666652
424,0.5486145
425,0.2969025
426,0.49587157
427,0.45034912
428,0.38012645
429,0.4353145
430,0.6835735
431,0.56106985
432,0.4997754
433,0.57058215
434,0.61592364
435,0.5115702
436,0.5727278
437,0.60830677
438,0.5108819
439,0.5281284
440,0.48429337
441,0.49650857
442,0.6208675
443,0.5870848
444,0.4975379
445,0.51488864
446,0.55199504
447,0.43677434
448,0.48422447
449,0.54190814
450,0.58670557
451,0.50016606
452,0.524199
453,0.58023584
454,0.539598
455,0.4138326
456,0.44281358
457,0.5219461
458,0.6209004
459,0.534065
460,0.5834751
461,0.58376193
462,0.50925446
463,0.5334204
464,0.52941847
465,0.5142961
466,0.6019573
467,0.52985454
468,0.5258746
469,0.5079973
470,0.5686492
471,0.48878396
472,0.49996525
473,0.57239044
474,0.5464697
475,0.4908844
476,0.4378503
477,0.56591606
478,0.5193404
479,0.48377466
480,0.57890415
481,0.6177099
482,0.50942594
483,0.4867631
484,0.4486899
485,0.50951564
486,0.52350295
487,0.4498523
488,0.53631675
489,0.5643258
490,0.5532
491,0.54582465
492,0.48375088
493,0.539469
494,0.5206245
495,0.53774893
496,0.54961765
497,0.53438455
498,0.47121146
499,0.5449685
500,0.5611032
501,0.54727125
502,0.4926637
503,0.50577843
504,0.5003632
505,0.5257567
506,0.47886416
507,0.4939087
508,0.55013883
509,0.4473038
510,0.56472266
511,0.4765258
512,0.48872146
513,0.5545535
514,0.5358772
515,0.5255015
516,0.5205595
517,0.39171115
518,0.5716064
519,0.58540463
520,0.48838443
521,0.41061008
522,0.5026278
523,0.4939866
524,0.5073477
525,0.58482647
526,0.5826571
527,0.50342226
528,0.5642686
529,0.5140271
530,0.4701672
531,0.43552426
532,0.5790392
533,0.45055276
534,0.5573001
535,0.5994357
536,0.52225566
537,0.5244746
538,0.50930333
539,0.61913717
540,0.6061946
541,0.49049428
542,0.5837709
543,0.5011315
544,0.54727554
545,0.53628504
546,0.51172745
547,0.4764959
548,0.51783884
549,0.5710263
550,0.519137
551,0.53760386
552,0.44935706
553,0.52753556
554,0.5030732
555,0.45431945
556,0.5454407
557,0.5435195
558,0.5314338
559,0.51830626
560,0.48319325
561,0.4764686
562,0.52489316
563,0.5080372
564,0.5304649
565,0.4921795
566,0.57094336
567,0.41367742
568,0.5494528
569,0.48671207
570,0.622339
571,0.5129632
572,0.51582986
573,0.5249531
574,0.45029932
575,0.4938953
576,0.4892688
577,0.5157019
578,0.4576309
579,0.4749488
580,0.56746185
581,0.55955267
582,0.514658
583,0.4741384
584,0.43319336
585,0.50846887
586,0.6782594
587,0.4563725
588,0.44614142
589,0.6025789
590,0.6134435
591,0.496488
592,0.54891276
593,0.5540658
594,0.46181357
595,0.47129998
596,0.54636025
597,0.5654123
598,0.46637997
599,0.48122013
600,0.49177605
601,0.50946987
602,0.5327133
603,0.4092091
604,0.5224969
605,0.5596882
606,0.43161654
607,0.51477087
608,0.5355841
609,0.4447821
610,0.55019534
611,0.47287813
612,0.51189554
613,0.64375305
614,0.5262104
615,0.44610342
616,0.46055195
617,0.443787
618,0.536106
619,0.44549027
620,0.5085609
621,0.59670985
622,0.51780725
623,0.4246215
624,0.42536145
625,0.54659724
626,0.6764772
627,0.46827188
628,0.40887305
629,0.3667285
630,0.5529723
631,0.49384192
632,0.50417477
633,0.43894193
634,0.5424622
635,0.39817938
636,0.3462381
637,0.37032858
638,0.39681783
639,0.76022065
640,0.49996102
641,0.5995501
642,0.7466401
643,0.5418478
644,0.56780565
645,0.38526478
646,0.41630524
647,0.3626224
648,0.64884436
649,0.61103404
650,0.65932024
651,0.53756654
652,0.49993628
653,0.42246035
654,0.68837667
655,0.5723885
656,0.51464427
657,0.6224216
658,0.4598986
659,0.5740956
660,0.58008015
661,0.41852728
662,0.5510981
663,0.4611427
664,0.43963102
665,0.5195999
666,0.51131046
667,0.33275354
668,0.59543717
669,0.45072362
670,0.59210944
671,0.5614946
672,0.550022
673,0.51905906
674,0.40943375
675,0.53320944
676,0.5254625
677,0.43159777
678,0.49813095
679,0.38449126
680,0.52917564
681,0.4605004
682,0.44332317
683,0.6290622
684,0.59896445
685,0.3739633
686,0.45703086
687,0.6878214
688,0.41334134
689,0.47529337
690,0.4185002
691,0.43457493
692,0.5916592
693,0.39604822
694,0.6701249
695,0.6852646
696,0.55376923
697,0.7177292
698,0.41120502
699,0.6194192
700,0.5480647
701,0.59599185
702,0.47612697
703,0.54947364
704,0.45435622
705,0.59387994
706,0.48518518
707,0.4816214
708,0.5606499
709,0.49505004
710,0.5940043
711,0.5550481
712,0.5533912
713,0.55945146
714,0.4177008
715,0.48100623
716,0.4271638
717,0.5525441
718,0.5175549
719,0.6270933
720,0.54627275
721,0.47513357
722,0.5016645
723,0.6038114
724,0.6131942
725,0.5042436
726,0.5307087
727,0.42617914
728,0.6417093
729,0.5075193
730,0.51115197
731,0.45464632
732,0.50449514
733,0.4670799
734,0.5472424
735,0.42058477
736,0.57988274
737,0.52262974
738,0.50343704
739,0.4596962
740,0.62147903
741,0.4831669
742,0.4616011
743,0.48494264
744,0.5758103
745,0.52877164
746,0.49524304
747,0.50702477
748,0.4472283
749,0.5410149
750,0.5237759
751,0.6608864
752,0.51870453
753,0.6184242
754,0.49103475
755,0.45796427
756,0.6044296
757,0.5200851
758,0.5140629
759,0.54567015
760,0.45513955
761,0.50287527
762,0.4569417
763,0.44910863
764,0.4738731
765,0.5635352
766,0.38928035
767,0.44798326
768,0.57435703
769,0.54800284
770,0.41793597
771,0.57485545
772,0.54216516
773,0.4578286
774,0.4949018
775,0.49063417
776,0.47543505
777,0.5521227
778,0.48349872
779,0.46327373
780,0.5140692
781,0.6107279
782,0.6028341
783,0.48790458
784,0.47831252
785,0.57624257
786,0.43671092
787,0.55034554
788,0.46135652
789,0.5699856
790,0.5399697
791,0.48586193
792,0.45044985
793,0.5608604
794,0.47841224
795,0.55548036
796,0.4043006
797,0.48249245
798,0.53762233
799,0.6668767
800,0.5258931
801,0.67073166
802,0.5367584
803,0.55539215
804,0.52725923
805,0.6212076
806,0.36073878
807,0.570642
808,0.49665263
809,0.51259685
810,0.49464145
811,0.44074818
812,0.57085514
813,0.63422346
814,0.4973027
815,0.5308674
816,0.52469015
817,0.5118955
818,0.45718437
819,0.54796946
820,0.50343406
821,0.6028776
822,0.54788244
823,0.46525678
824,0.58644557
825,0.5135368
826,0.6130235
827,0.55654705
828,0.48251167
829,0.45784315
830,0.5963727
831,0.5349027
832,0.51708746
833,0.518836
834,0.58486736
835,0.50435996
836,0.5576228
837,0.49844787
838,0.4758328
839,0.5818888
840,0.57486844
841,0.50863147
842,0.50761247
843,0.55562484
844,0.5118048
845,0.40779433
846,0.5170318
847,0.5383582
848,0.56010985
849,0.5283656
850,0.60403156
851,0.5301002
852,0.5043322
853,0.58374333
854,0.53766656
855,0.5427381
856,0.58522165
857,0.5397377
858,0.51192725
859,0.46693552
860,0.5607617
861,0.57591236
862,0.52721643
863,0.47616467
864,0.6174463
865,0.52659786
866,0.51546454
867,0.45099676
868,0.5269016
869,0.45646027
870,0.5303917
871,0.48294303
872,0.56760764
873,0.47683027
874,0.51508284
875,0.5561602
876,0.570997
877,0.48476425
878,0.6022475
879,0.5374969
880,0.49625778
881,0.4597546
882,0.5625354
883,0.5471102
884,0.50714517
885,0.4929633
886,0.46528044
887,0.57169735
888,0.45442572
889,0.5624106
890,0.52493614
891,0.48934594
892,0.59535444
893,0.51315224
894,0.4883559
895,0.51489234
896,0.53498006
897,0.47482353
898,0.5342007
899,0.44073966
900,0.5300652
901,0.55316305
902,0.53813565
903,0.53583336
904,0.563774
905,0.49396542
906,0.54989195
907,0.52352285
908,0.56026924
909,0.5328814
910,0.5142101
911,0.5340156
912,0.47598684
913,0.5250734
914,0.5344004
915,0.52258503
916,0.54697883
917,0.54305625
918,0.58078265
919,0.53889537
920,0.5289742
921,0.49387887
922,0.5642184
923,0.48525408
924,0.46727848
925,0.54469824
926,0.531538
927,0.50616896
928,0.58269763
929,0.5083958
930,0.57824063
931,0.50872844
932,0.46226028
933,0.54748785
934,0.43380043
935,0.49420148
936,0.49202192
937,0.5634177
938,0.4733474
939,0.6174772
940,0.53113985
941,0.562112
942,0.54154706
943,0.54296577
944,0.49842244
945,0.54239213
946,0.51994145
947,0.5511409
948,0.5378281
949,0.51150346
950,0.53439313
951,0.47556803
952,0.5427655
953,0.52716583
954,0.45295873
955,0.5354965
956,0.5016274
957,0.5310174
958,0.5867888
959,0.52739775
960,0.51785123
961,0.5364542
962,0.5546602
963,0.49824312
964,0.5165384
965,0.54587007
966,0.50243247
967,0.49674734
968,0.5198256
969,0.5708474
970,0.52126396
971,0.48802647
972,0.4938339
973,0.48105416
974,0.55522585
975,0.4840365
976,0.52869296
977,0.5914304
978,0.52926946
979,0.5398444
980,0.52125907
981,0.569824
982,0.50827706
983,0.51485777
984,0.54049957
985,0.48763952
986,0.5522691
987,0.48361614
988,0.51766574
989,0.57092667
990,0.532547
991,0.49706057
992,0.54891336
