,0
0,0.37697053
1,0.09727849
2,0.34232098
3,0.43611825
4,0.44054478
5,0.25406724
6,0.28231317
7,0.33864003
8,0.3175456
9,0.15097491
10,0.08127248
11,0.09969087
12,0.10674964
13,0.24244504
14,0.16218604
15,0.20432103
16,0.10332166
17,0.29287493
18,0.1358089
19,0.32736105
20,0.08605206
21,0.33005047
22,0.0914747
23,0.16227238
24,0.24251844
25,0.07914503
26,0.26037097
27,0.11549468
28,0.07394367
29,0.06373894
30,0.06496602
31,0.24641441
32,0.18069981
33,0.08461608
34,0.29769856
35,0.11774583
36,0.07974331
37,0.07889007
38,0.21386744
39,0.14099544
40,0.07809924
41,0.23122679
42,0.0729813
43,0.09290908
44,0.08242813
45,0.1963809
46,0.06743117
47,0.12677275
48,0.22401409
49,0.15090476
50,0.23518418
51,0.12887968
52,0.22565474
53,0.1756369
54,0.23203777
55,0.11178213
56,0.06330429
57,0.07212966
58,0.10663585
59,0.21965392
60,0.25617313
61,0.23095246
62,0.3575735
63,0.14823006
64,0.08044849
65,0.260036
66,0.34813875
67,0.34829384
68,0.23490886
69,0.4669503
70,0.38292074
71,0.57123333
72,0.5791184
73,0.5958892
74,0.38118106
75,0.3245756
76,0.41034693
77,0.5891068
78,0.37772942
79,0.40479708
80,0.31382507
81,0.32125616
82,0.3403098
83,0.36082238
84,0.08597139
85,0.32928413
86,0.37027538
87,0.37759602
88,0.42311633
89,0.34242815
90,0.10273573
91,0.2842766
92,0.34279585
93,0.3557467
94,0.37710845
95,0.40408427
96,0.1153854
97,0.44311088
98,0.3250208
99,0.24674223
100,0.07925737
101,0.4813847
102,0.25479722
103,0.5122965
104,0.5891237
105,0.08208034
106,0.30145293
107,0.3051631
108,0.083512604
109,0.13245751
110,0.32814854
111,0.3063057
112,0.22586317
113,0.13245223
114,0.086635165
115,0.36110592
116,0.090288214
117,0.12339859
118,0.24700771
119,0.31297028
120,0.20021014
121,0.19653665
122,0.28273857
123,0.23329608
124,0.30185133
125,0.09380583
126,0.28072613
127,0.3208521
128,0.15189746
129,0.1380481
130,0.09208423
131,0.35432202
132,0.18584056
133,0.15155028
134,0.08493815
135,0.17523484
136,0.2122015
137,0.3260135
138,0.19762869
139,0.2315843
140,0.1208493
141,0.13574322
142,0.28869998
143,0.3699656
144,0.33777094
145,0.37777424
146,0.11308603
147,0.33382696
148,0.102942556
