"","x"
"1",0.0126530283333207
"2",0.0126530283333207
"3",0.0166784388949593
"4",0.0155640641537607
"5",0.0153023867614848
"6",0.0164764607796484
"7",0.0160441902446118
"8",0.0154495995436795
"9",0.0146742973126686
"10",0.0142411563525804
"11",0.0137718467000519
"12",0.0129931920633228
"13",0.0122281086484132
"14",0.0116909444000055
"15",0.0122444866937326
"16",0.0143397731639494
"17",0.0134225336482472
"18",0.0126314442719323
"19",0.0130390123747796
"20",0.015417349830209
"21",0.0158844531258328
"22",0.0152947052458221
"23",0.0143979068475907
"24",0.0138066137331271
"25",0.0128938987388416
"26",0.012246299604957
"27",0.0125414746172418
"28",0.0131854484700482
"29",0.0129361533900032
"30",0.0136615788355247
"31",0.0128557032121243
"32",0.0124097797423426
"33",0.0119780281459816
"34",0.012621954271226
"35",0.0150532698859425
"36",0.0140882539026236
"37",0.0133180594431733
"38",0.0128850536423376
"39",0.0130644006081645
"40",0.0127592720386862
"41",0.0128063079548725
"42",0.0123696286018321
"43",0.0121307426412465
"44",0.0128950664469142
"45",0.013521623130641
"46",0.0151556531629939
"47",0.0149721070256054
"48",0.0159316902420005
"49",0.0149651383562118
"50",0.0146713127282384
"51",0.0153676518614634
"52",0.0180849316575421
"53",0.0222967072574902
"54",0.020914148882905
"55",0.0200137297149405
"56",0.0199937770524532
"57",0.0189884307587583
"58",0.0184350221276949
"59",0.0171715328084563
"60",0.0161533350113925
"61",0.0154363461935646
"62",0.0146345139722528
"63",0.0143279970705871
"64",0.0134912267945419
"65",0.0127724658563174
"66",0.0122039257264626
"67",0.0116748063225968
"68",0.0113749028280816
"69",0.0111897582896415
"70",0.0107381548254186
"71",0.0110244344106594
"72",0.0130759003307679
"73",0.0179957305953467
"74",0.0255193247581159
"75",0.0255320612076511
"76",0.0255309114441384
"77",0.0238162337755919
"78",0.0221567457365388
"79",0.0214368524405574
"80",0.0221229256903664
"81",0.0207012583658145
"82",0.0193190513114903
"83",0.0182443965253012
"84",0.0174109646641069
"85",0.0173461120086358
"86",0.0177175257647648
"87",0.016860336294592
"88",0.0163723257349868
"89",0.0154208222834029
"90",0.0152322828650754
"91",0.0159224795372521
"92",0.0156146818936126
"93",0.0154692604221392
"94",0.0160288773597279
"95",0.0154742571857697
"96",0.0149622640105994
"97",0.0148292856714884
"98",0.015453132888272
"99",0.0150533613699735
"100",0.015563583155534
"101",0.0153598993176599
"102",0.0147217475160717
"103",0.0149330912413789
"104",0.0167064258167816
"105",0.0159612570210758
"106",0.0163884106849395
"107",0.0165446793047201
"108",0.0155516042539878
"109",0.0147650024302913
"110",0.0140219174280006
"111",0.013242521831613
"112",0.0125444360842514
"113",0.0123027308002478
"114",0.0123228796597795
"115",0.0115843780973891
"116",0.011101135500109
"117",0.0110581919813019
"118",0.0111175442348153
"119",0.0105617343520391
"120",0.0105010353820843
"121",0.0114735899790372
"122",0.0112591878191296
"123",0.0108444163131997
"124",0.0102140697591213
"125",0.00975301902805901
"126",0.00962838858446386
"127",0.00950131037422859
"128",0.00990810973936858
"129",0.0104219761515184
"130",0.010296370621537
"131",0.0107137177802498
"132",0.0100729631391438
"133",0.00961874049003579
"134",0.00937153413354506
"135",0.00901484147985846
"136",0.00892838408254514
"137",0.00869938736388068
"138",0.00909886438633775
"139",0.00916755974208024
"140",0.00912656825144743
"141",0.00937977111379929
