"","x"
"1",0.00233513482736314
"2",2.50927073942173e-05
"3",0.000789472078646876
"4",2.84412230941977e-05
"5",1.11403124592127e-05
"6",9.52015690826336e-05
"7",0.000124683599511957
"8",2.9584299274605e-05
"9",2.80199128934925e-05
"10",6.95676428576428e-06
"11",0.000191406798250263
"12",6.88652707398045e-06
"13",2.04148448085141e-07
"14",0.000162342677065428
"15",1.73952832731046e-05
"16",2.38677587696018e-05
"17",7.40554701773766e-06
"18",3.99206619668384e-05
"19",5.70827067747207e-05
"20",2.53981370839744e-05
"21",2.05699204619602e-05
"22",0.000296393558260644
"23",1.53073728822867e-06
"24",1.7563852682746e-06
"25",7.85445463629773e-05
"26",5.62558348189228e-05
"27",0.000207648449619854
"28",9.83431303631135e-05
"29",5.66065814690341e-05
"30",1.19839326303475e-05
"31",5.76349338072923e-05
"32",0.000337022431542299
"33",0.000401037215744854
"34",0.000441402857778755
"35",1.95567219684018e-05
"36",3.65081771829551e-05
"37",0.000270127647866617
"38",3.4303212532461e-05
"39",0.000242381330329805
"40",8.44741474016774e-07
"41",3.37541775582518e-05
"42",2.42352834736266e-05
"43",0.000107965041206062
"44",5.44578881597097e-05
"45",7.76183721570203e-06
"46",0.000627219186352311
"47",0.00224420070984975
"48",8.48404242023792e-05
"49",0.000608221104742147
"50",6.19885253477815e-06
"51",0.000374735783691642
"52",0.000221074557108095
"53",0.000507306463918604
"54",0.000450902776721987
"55",4.18551996106993e-05
"56",0.000360593985625678
"57",0.00017782795854086
"58",0.000694591480873122
"59",0.000482043631180828
"60",6.13445302467494e-05
"61",9.86957468643471e-05
"62",0.000132189543998212
"63",0.0013493733757373
"64",5.3618015133613e-05
"65",0.00177814705344541
"66",0.000234669768237712
"67",2.9553997217782e-05
"68",0.000752602917284351
"69",6.6840270572076e-07
"70",0.000210212255487234
"71",2.82505639019611e-06
"72",9.22742126781881e-05
"73",0.00153169159690767
"74",0.000281925552201572
"75",5.38177608839991e-05
"76",0.000267546134447973
"77",0.000203811543305793
"78",0.000199264363221417
"79",4.0136582402948e-05
"80",0.000231642331948043
"81",1.763820147235e-06
"82",0.000166869586897955
"83",4.64520980292276e-06
"84",0.000228885823968654
"85",0.000151534139881115
"86",9.53472551374389e-07
"87",5.57186383578352e-06
"88",2.45456335781388e-05
"89",1.12745058762364e-06
"90",6.20573938871532e-05
"91",2.1302168975485e-06
"92",2.39562195750261e-07
"93",0.000776582728407022
"94",3.40141028204419e-05
"95",7.70781299672011e-06
"96",0.000259462940361074
"97",9.13640002936442e-07
"98",0.000262452821934417
"99",1.17628103214747e-06
"100",0.000137902902212632
"101",8.9906678787928e-05
"102",0.000287355548262165
"103",1.6485519265098e-05
"104",1.89647238774184e-05
"105",2.82779663392285e-05
"106",0.000176279175255689
"107",8.65186903077144e-05
"108",1.55037233151651e-05
"109",8.15394672838846e-05
"110",9.51890265061201e-05
"111",5.88163713392811e-09
"112",0.000132499007782328
"113",0.000370839555903877
"114",4.72437745687213e-05
"115",3.21911642103794e-05
"116",6.79039588139699e-06
"117",7.81883053636008e-05
"118",0.000146350482497872
"119",7.02837459846291e-05
"120",4.75491650646978e-05
"121",5.80147157418164e-06
"122",2.60683215039969e-05
"123",0.000134978521712458
"124",4.33106485510794e-08
"125",9.16986901968695e-05
"126",7.64718789834439e-07
"127",0.00016522997318863
"128",0.000650101808024471
"129",1.42736502322934e-05
"130",0.000193821901403151
"131",9.63774457185063e-06
"132",0.000530913384350778
"133",7.70813726038137e-05
"134",0.000108941281647599
"135",7.01798782190613e-05
"136",2.12544611381459e-05
"137",2.63478387446659e-05
"138",8.73396496042278e-06
"139",0.000294211389462864
"140",0.000346486860133633
"141",0.000189201792195288
"142",0.000145494373434755
"143",1.15798043812928e-05
"144",1.06113256254932e-06
"145",2.69201445189306e-05
"146",1.84747586252971e-05
"147",1.74782581214363e-05
"148",2.52207105834614e-05
"149",0.000152599148137752
"150",2.7237534572122e-06
"151",0.000300283862832677
"152",5.80674275071392e-06
"153",2.94057049439514e-05
"154",1.92704357206181e-06
"155",1.56797547331331e-05
"156",6.50033830314224e-05
"157",3.87136327890212e-06
"158",0.000277987315574715
"159",3.41860586691282e-05
"160",0.000130525951878346
"161",2.74877146026861e-05
"162",4.74044034988627e-06
"163",0.00035702960735747
"164",7.57799962077314e-06
"165",0.000254071272928235
"166",0.000174793443159661
"167",0.000351845627895829
"168",2.99955043850434e-06
"169",1.03973962222275e-07
"170",1.86362209061959e-06
"171",0.00052942657328664
"172",0.000473272014996768
"173",1.38552287632266e-05
"174",0.00249647842980533
"175",0.000146074257942846
"176",0.000295043566126771
"177",0.00113772069618186
"178",0.000539324105674997
"179",0.00127519308621748
"180",0.000171081255220093
"181",1.91229541360908e-05
"182",0.000111664106128676
"183",0.000520356234683581
"184",2.78771720164737e-09
"185",0.000137313501556459
"186",0.000439056040321478
"187",1.26958833425635e-07
"188",1.21289920770322e-06
"189",7.09324944012426e-05
"190",4.36725055311809e-05
"191",0.00047523768448628
"192",0.000308491240971786
"193",1.38116223180611e-05
"194",5.75756496839105e-06
"195",4.2135625802722e-05
"196",0.000332003449847085
"197",0.000107911742088734
"198",1.13244322059701e-05
"199",0.000239792364122295
"200",9.82229824937657e-06
"201",1.70670032433387e-07
"202",0.000180524968338965
"203",3.01361706529216e-05
"204",0.000569058504437182
"205",0.000417443921421362
"206",5.35898050722615e-06
"207",0.000503990181852793
"208",2.83738864505583e-05
"209",0.000206959653057378
"210",0.000252466801011566
"211",1.57393116459146e-06
"212",3.56321544432807e-06
"213",2.67674468034349e-06
"214",3.30543071744903e-06
"215",0.00032198761801331
"216",1.45752321795631e-05
"217",7.85376536180749e-07
"218",1.07461417634958e-05
"219",0.000104572366957268
"220",3.92873158306644e-05
"221",3.662464106859e-05
"222",0.000116860450679906
"223",5.31084193172317e-05
"224",4.05974276040168e-05
"225",0.000379387860679973
"226",6.17666986996264e-05
"227",1.11258257638734e-07
"228",7.62667707449358e-05
"229",0.000140608588472582
"230",0.000547526855887348
"231",1.46746177927532e-07
"232",6.609695818167e-05
"233",0.000293638213215205
"234",2.43312009065984e-05
"235",8.86924264481585e-08
"236",0.000252340113840746
"237",1.43662296388939e-06
"238",0.000102859106502887
"239",7.17762849069026e-05
"240",4.16360240728606e-05
"241",6.33400010618932e-05
"242",9.60525535575239e-06
"243",5.01686092639715e-09
"244",1.48383736599708e-05
"245",4.87518136360149e-05
"246",1.53793408742204e-05
"247",0.000121995443342758
"248",1.72002985312693e-05
"249",9.18477029349333e-05
"250",4.96623986607419e-05
"251",3.62215927782473e-05
"252",2.12639708968854e-05
"253",3.00034763107798e-05
"254",1.66083525085162e-07
"255",9.2260085738401e-05
"256",5.88265528073216e-05
"257",3.38851653273514e-05
"258",0.000249741396011309
"259",6.06335500522375e-05
"260",8.13204811763869e-05
"261",7.72635582402867e-05
"262",4.5918626058621e-05
"263",1.77859027447601e-05
"264",1.39027563297772e-06
"265",9.79572089556652e-08
"266",0.000857977276483021
"267",6.35980802590015e-05
"268",0.000255366190222609
"269",3.10412167438291e-05
"270",0.000683007471289907
"271",5.29358521797454e-05
"272",4.50435682360306e-05
"273",1.63263106105497e-05
"274",0.000200020206597887
"275",0.000248427825092535
"276",6.44546952390841e-06
"277",8.42082666417989e-05
"278",7.62662766806543e-07
"279",0.000133004832103355
"280",0.000424972891075245
"281",0.000119029932663528
"282",0.000203545829611759
"283",3.70403516458557e-05
"284",0.000344308241538281
"285",3.40141634663093e-06
"286",4.67731699579931e-08
"287",9.20677156624986e-06
"288",0.000475391683731869
"289",0.00047256357320325
"290",2.14243354771207e-05
"291",0.000178698843715519
"292",9.15586496042379e-06
"293",2.55562449329468e-05
"294",1.47856196565714e-05
"295",4.537697123133e-06
"296",0.000108552634233542
"297",5.43412068645389e-06
"298",0.00012029089988905
"299",3.47926792503864e-07
"300",1.41230731917477e-05
"301",0.000244471168522312
"302",3.90574080695917e-07
"303",1.85387481802869e-05
"304",0.000240403026551274
"305",1.46788144816939e-05
"306",3.35626770131775e-05
"307",8.12888096999283e-06
"308",4.70938497145049e-07
"309",7.90863515978993e-05
"310",0.00012779095221003
"311",3.62810692245445e-07
"312",1.12123252585786e-05
"313",2.74324796208105e-06
"314",4.4146855440351e-05
"315",0.000104767549299415
"316",0.000522875324500694
"317",1.23179802293778e-05
"318",5.03028791514076e-05
"319",0.000483900465840902
"320",2.35947822866987e-07
"321",3.62324587810699e-06
"322",4.6044203888429e-08
"323",0.000246321591170395
"324",6.91078197984687e-05
"325",6.57557329516521e-05
"326",6.80607678847007e-06
"327",0.000207538110274235
"328",0.000145411442459114
"329",8.57077315408432e-05
"330",9.72243917016258e-05
"331",8.74511506286615e-07
"332",0.00011582512312651
"333",0.000440958914902108
"334",3.13083837429461e-05
"335",0.00131178246566974
"336",0.000110164172757549
"337",0.000358129244516033
"338",0.000259843660706966
"339",0.000523489124926947
"340",1.16627924720267e-05
"341",3.1643580963688e-05
"342",6.60401092433417e-05
"343",0.000161662731480183
"344",0.000166073955723509
"345",1.69099007486984e-05
"346",0.000111757070947621
"347",0.000125178544919081
"348",0.000105675648305052
"349",5.92329287808956e-05
"350",1.45916939337847e-05
"351",3.07202409577523e-06
"352",0.000628402631134602
"353",1.04099040355299e-05
"354",7.35161570867687e-05
"355",0.000366628891487069
"356",1.76140605351026e-05
"357",7.25256194232824e-06
"358",0.000276694890110744
"359",1.85663573453317e-05
"360",9.99767638638561e-05
"361",1.41960331330927e-05
"362",0.000771639525158029
"363",1.66098328965535e-05
"364",0.00028225104469523
"365",0.000248110103723634
"366",0.000362611612281007
"367",1.74825631535852e-06
"368",0.000277195652390186
"369",2.4270304204869e-05
"370",0.000284424791685182
"371",1.00852057695698e-06
"372",0.000481701594331933
"373",0.000589142161435547
"374",1.15873234031106e-05
"375",0.00133767935760295
"376",6.7062976978662e-05
"377",0.000714567911565139
"378",0.00142723849469628
"379",9.63754808728509e-06
"380",3.38190259191697e-05
"381",2.27786935399975e-05
"382",0.000370469701248566
"383",9.41556023590828e-06
"384",0.000727321000013744
"385",0.00181510876854884
"386",0.00147321431077918
"387",0.00100008434019382
"388",0.00272735154994622
"389",6.10192919555605e-07
"390",0.000250646063437603
"391",0.00296239088422743
"392",0.000105909511284245
"393",0.000100254593502994
"394",0.00084647514194994
"395",0.000738505999094954
"396",0.00143826252595226
"397",0.000628736841126479
"398",0.000533360835693604
"399",0.00117828925076612
"400",5.05902325686336e-05
"401",2.6627722377832e-05
"402",0.000519348118370038
"403",0.0013257851114075
"404",0.000254197061780006
"405",2.09629563451103e-07
"406",0.000525802213207935
"407",0.000132854703549938
"408",0.000115069657873636
"409",0.000231826336889305
"410",0.000463077917201989
"411",2.05147711531249e-05
"412",0.000176604697937503
"413",0.0004081074269769
"414",6.24594807300348e-06
"415",4.5530416375813e-06
"416",0.0018392653554707
"417",0.000145476417617947
"418",0.000202871630144536
"419",0.00021033238700387
"420",0.000139557569772707
"421",6.83635660772344e-05
"422",2.41427129460683e-07
"423",0.000642700326657622
"424",8.85020550421203e-10
"425",2.56173673034922e-06
"426",0.000399624083883931
"427",5.29393749289702e-05
"428",0.000980948210232501
"429",2.04898773198906e-06
"430",0.000192367262731883
"431",0.000373887407231805
"432",0.000494574409914395
"433",0.00043016954395889
"434",0.000953210712921571
"435",0.000355759958252051
"436",0.00138654851362589
"437",0.000377273570555763
"438",0.000195151582117065
"439",0.000586795375400684
"440",0.000494753320587624
"441",0.00020207079926243
"442",0.000670973731626201
"443",0.000950291913345782
"444",0.00177924006924001
"445",0.000135420249131521
"446",0.00219801969627248
"447",0.00036571953813095
"448",0.000357369837800167
"449",6.8584013396424e-05
"450",0.000311533502205726
"451",7.86458332699779e-05
"452",2.68521206495701e-05
"453",0.00021833987915087
"454",0.000223562860783833
"455",4.23258534955147e-05
"456",0.000107057122051275
"457",6.9390449913349e-05
"458",2.16943436282481e-05
"459",0.000259577932006097
"460",9.90354280452584e-05
"461",7.17004339058241e-05
"462",9.57919580124152e-05
"463",0.000495886371379367
"464",0.000139241967399339
"465",0.000494580595963962
"466",2.44631047035827e-05
"467",4.16072689783657e-08
"468",0.000577942483856542
"469",7.73987241687657e-05
"470",9.93828584031601e-05
"471",3.04268984653684e-05
"472",0.00034260845557138
"473",0.00054209289202946
"474",1.31601026747869e-06
"475",3.42845377848373e-06
"476",0.000446923162869314
"477",0.000616633062549215
"478",1.07263120635427e-07
"479",6.08550130932495e-06
"480",0.000234713213795568
"481",2.99370585849763e-05
"482",0.000162148623476782
"483",2.08413380906561e-05
"484",0.000480405512035157
"485",0.000119794668888266
"486",3.92384941772292e-06
"487",1.52218387856689e-05
"488",0.000201819100929048
"489",0.000457717752269586
"490",3.17492404462926e-05
"491",0.000208693128439829
"492",9.13417510263681e-05
"493",0.000138284313207453
"494",9.75333922724057e-06
"495",3.0331170017095e-05
"496",1.63751833910113e-05
"497",0.000281332159008653
"498",5.6650964318315e-06
"499",6.30301913355007e-07
"500",0.00105502650262069
"501",1.00988341143348e-05
"502",0.000480915522521135
"503",1.72237231236763e-05
"504",0.000231274937750801
"505",0.000298581692422162
"506",4.18310234101816e-06
"507",2.730874483168e-06
"508",2.92275563910812e-05
"509",0.000198099084133807
"510",3.50852123371348e-05
"511",0.000219806397102827
"512",0.000315077416625006
"513",0.000159138529418689
"514",7.5367969221059e-05
"515",0.000823266540810853
"516",0.000402903363106431
"517",0.000116266658067081
"518",6.50663869763644e-05
"519",0.000508303667509474
"520",0.000100939275264996
"521",4.49473204691825e-05
"522",0.000189969729797334
"523",5.44936840015366e-05
"524",5.41435578126312e-05
"525",0.000124443352740016
"526",3.71031933159869e-05
"527",5.57843715243151e-05
"528",0.000195356633529419
"529",1.13164685986997e-05
"530",0.00043176393063717
"531",0.000466835052973569
"532",2.5536491695072e-05
"533",0.000113108318022584
"534",0.000138288366148404
"535",0.000296562705905048
"536",2.22363962488481e-05
"537",0.00015902420494903
"538",9.74456518893929e-05
"539",3.32844877797136e-05
"540",5.26083177141606e-05
"541",0.000276134976759492
"542",5.52170307894523e-05
"543",7.19867070827352e-05
"544",4.71564499215359e-05
"545",0.000646427695810974
"546",0.000138233070850067
"547",9.43360834234935e-06
"548",0.00116646725569537
"549",2.97317829881023e-05
"550",0.00120910111089655
"551",6.64577830721122e-05
"552",8.03956594847847e-05
"553",7.21894121837849e-06
"554",0.000515469589097876
"555",0.00111505655604604
"556",5.72590170418391e-05
"557",1.83658208141555e-05
"558",6.4452551002813e-06
"559",3.88268060154749e-05
"560",0.000354612420224099
"561",9.39932825485507e-05
"562",0.000728141240130872
"563",4.94605458316441e-06
"564",3.57920950796801e-06
"565",1.73369414296506e-06
"566",3.82919531905512e-06
"567",0.000212115672846665
"568",2.03605077998907e-05
"569",1.04977775168491e-05
"570",0.000346780660972981
"571",6.97477314011094e-05
"572",0.000139220328415545
"573",0.000187914101856137
"574",2.42269669673063e-08
"575",0.000441995038401564
"576",0.00011416623646245
"577",5.67449013270859e-05
"578",0.000230169931646219
"579",0.000248839066047346
"580",2.64894085610985e-05
"581",7.22300482107023e-07
"582",1.06938962797616e-06
"583",0.000213395285001551
"584",5.09931147734075e-06
"585",5.98128857604266e-05
"586",1.89211331255926e-05
"587",0.000120075293622967
"588",0.000162114192136981
"589",0.000193536116101594
"590",2.98646738878919e-06
"591",1.44672437130463e-05
"592",5.20659144887472e-05
"593",3.2717994297015e-06
"594",0.000664139764946211
"595",1.91948940084435e-05
"596",1.31849989568715e-05
"597",8.74095496542752e-05
"598",5.27806641755672e-06
"599",0.000372976503866377
"600",1.52331333807557e-05
"601",1.43077061351723e-05
"602",0.000193089469637205
"603",2.53610037452827e-05
"604",2.3896422320218e-05
"605",0.000234717997946477
"606",3.02433089853143e-05
"607",4.72319962976572e-06
"608",0.00015811092180855
"609",5.49322640761133e-05
"610",0.000184964715703023
"611",5.36810783252562e-06
"612",0.000101585669897667
"613",0.000428917514422824
"614",1.09914180331455e-05
"615",2.83056738527992e-06
"616",0.000248911935764064
"617",1.15889716732915e-06
"618",0.000205363071019409
